,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,class
0,5.7,3.0,4.2,1.2,1
1,6.6,2.9,4.6,1.3,1
2,6.7,2.5,5.8,1.8,2
3,6.2,2.2,4.5,1.5,1
4,5.7,2.9,4.2,1.3,1
5,5.2,3.4,1.4,0.2,0
6,5.6,3.0,4.1,1.3,1
7,6.5,3.0,5.5,1.8,2
8,5.4,3.7,1.5,0.2,0
9,7.2,3.0,5.8,1.6,2
10,4.8,3.4,1.6,0.2,0
11,4.9,3.0,1.4,0.2,0
12,6.0,3.0,4.8,1.8,2
13,5.7,2.8,4.1,1.3,1
14,4.5,2.3,1.3,0.3,0
15,5.4,3.9,1.7,0.4,0
16,5.7,3.8,1.7,0.3,0
17,6.2,2.8,4.8,1.8,2
18,5.6,2.5,3.9,1.1,1
19,5.1,2.5,3.0,1.1,1
20,6.9,3.2,5.7,2.3,2
21,5.9,3.2,4.8,1.8,1
22,6.3,2.8,5.1,1.5,2
23,5.0,3.5,1.6,0.6,0
24,5.5,2.4,3.8,1.1,1
25,7.7,2.6,6.9,2.3,2
26,5.0,2.3,3.3,1.0,1
27,4.8,3.0,1.4,0.1,0
28,6.0,2.2,4.0,1.0,1
29,4.8,3.4,1.9,0.2,0
30,5.1,3.5,1.4,0.2,0
31,6.4,2.8,5.6,2.1,2
32,6.7,3.1,5.6,2.4,2
33,7.1,3.0,5.9,2.1,2
34,5.4,3.4,1.5,0.4,0
35,7.2,3.2,6.0,1.8,2
36,6.2,2.9,4.3,1.3,1
37,5.0,3.5,1.3,0.3,0
38,6.3,2.5,5.0,1.9,2
39,5.9,3.0,4.2,1.5,1
40,6.4,2.9,4.3,1.3,1
41,4.4,2.9,1.4,0.2,0
42,4.4,3.0,1.3,0.2,0
43,6.3,2.5,4.9,1.5,1
44,5.5,2.6,4.4,1.2,1
45,4.9,3.1,1.5,0.1,0
46,5.2,4.1,1.5,0.1,0
47,6.3,3.3,6.0,2.5,2
48,5.5,3.5,1.3,0.2,0
49,6.8,3.0,5.5,2.1,2
50,4.6,3.1,1.5,0.2,0
51,7.3,2.9,6.3,1.8,2
52,6.7,3.3,5.7,2.1,2
53,6.1,2.9,4.7,1.4,1
54,6.1,2.6,5.6,1.4,2
55,5.3,3.7,1.5,0.2,0
56,4.9,3.1,1.5,0.1,0
57,6.3,3.4,5.6,2.4,2
58,6.1,3.0,4.6,1.4,1
59,5.1,3.8,1.5,0.3,0
60,5.1,3.8,1.6,0.2,0
61,5.8,2.7,5.1,1.9,2
62,4.4,3.2,1.3,0.2,0
63,6.9,3.1,5.4,2.1,2
64,4.6,3.2,1.4,0.2,0
65,5.5,4.2,1.4,0.2,0
66,7.9,3.8,6.4,2.0,2
67,6.1,3.0,4.9,1.8,2
68,6.5,3.2,5.1,2.0,2
69,5.8,2.6,4.0,1.2,1
70,6.8,2.8,4.8,1.4,1
71,6.3,3.3,4.7,1.6,1
72,5.8,2.8,5.1,2.4,2
73,7.7,3.8,6.7,2.2,2
74,5.6,3.0,4.5,1.5,1
75,5.6,2.9,3.6,1.3,1
76,7.0,3.2,4.7,1.4,1
77,5.0,3.6,1.4,0.2,0
78,5.5,2.5,4.0,1.3,1
79,4.6,3.6,1.0,0.2,0
80,6.7,3.0,5.2,2.3,2
81,6.0,2.7,5.1,1.6,1
82,6.9,3.1,4.9,1.5,1
83,6.2,3.4,5.4,2.3,2
84,4.7,3.2,1.3,0.2,0
85,6.5,2.8,4.6,1.5,1
86,5.0,3.4,1.6,0.4,0
87,5.5,2.4,3.7,1.0,1
88,5.7,2.5,5.0,2.0,2
89,6.3,2.9,5.6,1.8,2
90,6.7,3.3,5.7,2.5,2
91,6.7,3.1,4.7,1.5,1
92,6.0,2.9,4.5,1.5,1
93,5.1,3.7,1.5,0.4,0
94,5.0,3.3,1.4,0.2,0
95,4.6,3.4,1.4,0.3,0
