,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,tag
0,,,,,2
1,4.6,,,0.2,0
2,,2.0,,,1
3,5.5,4.2,,0.2,0
4,,3.0,5.1,,2
5,,3.0,,0.2,0
6,5.1,3.4,1.5,,0
7,,2.7,4.1,1.0,1
8,5.0,3.2,,0.2,0
9,4.4,,1.4,0.2,0
10,,,,1.0,1
11,,3.1,4.7,1.5,1
12,,,3.7,,1
13,6.7,,,1.8,2
14,,,1.3,0.4,0
15,6.7,3.1,,2.4,2
16,,,,2.1,2
17,5.7,,1.7,,0
18,5.5,2.6,,1.2,1
19,,3.2,1.6,,0
20,,,5.3,1.9,2
21,6.0,2.9,4.5,1.5,1
22,,,,,1
23,5.8,2.7,,1.9,2
24,6.7,,5.7,,2
25,,,,1.0,1
26,5.5,,,,1
27,,,,1.4,1
28,6.2,,4.8,1.8,2
29,,,1.5,0.2,0
30,,3.3,5.7,,2
31,5.5,,,,1
32,,,,,2
33,4.6,,1.4,,0
34,,,6.7,2.2,2
35,,,4.2,1.2,1
36,,3.2,4.5,1.5,1
37,,2.6,5.6,1.4,2
38,,,,,1
39,,,5.0,1.9,2
40,,4.4,1.5,,0
41,,,,1.2,1
42,,3.4,,,0
43,,,,,1
44,,3.4,,,0
45,,2.2,4.5,,1
46,7.2,3.2,,,2
47,6.4,,5.5,,2
48,6.5,3.0,5.5,1.8,2
49,4.9,3.1,1.5,,0
50,5.2,2.7,3.9,,1
51,,,,2.3,2
52,,2.5,3.0,1.1,1
53,,,,,1
54,,3.5,,,0
55,,3.2,1.3,,0
56,,2.6,,2.3,2
57,4.9,3.1,1.5,0.1,0
58,5.5,2.4,,1.1,1
59,6.1,,,,1
60,5.6,2.8,,2.0,2
61,,3.8,,0.4,0
62,,2.7,4.2,,1
63,,,6.3,1.8,2
64,,3.3,,0.5,0
65,,3.1,,,0
66,,4.1,1.5,0.1,0
67,4.9,,4.5,1.7,2
68,5.7,,4.5,,1
69,6.7,,5.0,1.7,1
70,5.9,3.0,,,1
71,,4.0,1.2,0.2,0
72,,3.0,,1.6,2
73,6.2,3.4,5.4,2.3,2
74,,3.4,5.6,2.4,2
75,,,4.7,,1
76,,2.7,4.9,1.8,2
77,6.3,2.8,,1.5,2
78,,2.3,,,1
79,,,,,0
80,,,,0.4,0
81,,,,0.2,0
82,,3.0,4.1,,1
83,,,,1.3,1
84,6.3,,6.0,2.5,2
85,5.0,3.6,1.4,,0
86,,2.5,4.9,,1
87,6.8,,5.5,,2
88,,3.0,,2.0,2
89,6.8,2.8,,,1
90,,3.2,,,0
91,6.4,2.9,,1.3,1
92,6.0,,,,2
93,6.5,3.2,,2.0,2
94,,,,2.5,2
95,6.2,,4.3,,1
